CHROM	POS	END	ID	REF	ALT	SVTYPE	Quality	Gene	Filter	SVLEN	Algorithms	Evidence	LBD_ALT_FREQS	controls_ALT_FREQS	candidate_gene_exon_overlap	Candidate_gene_overlap	Candidate_gene_promoter_overlap	Candidate_gene_non_coding_overlap	genehancer	CADDSV-score	raw-score-span	raw-score-flank
3	86262482	86262574	LBD_DUP_chr3_3823	N	DUP	DUP	563	CHMP2B	PASS	92	wham	RD,SR	0.000212495	0.000676224	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.502	-0.039443682	-0.039443682
3	86280275	86280326	LBD_INS_chr3_2095	N	INS:ME:ALU	INS:ME:ALU	629	CHMP2B	PASS	280	melt	SR	0.000424628	0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.616	0.198380386	0.198380386
3	86322973	86329937	LBD_CPX_chr3_116	N	CPX	CPX	496	CHMP2B	PASS	7086	manta	SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
3	86351100	86351831	LBD_DEL_chr3_6443	N	DEL	DEL	669	CHMP2B	PASS	731	manta	PE,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.333	-0.142811622	-0.185636535
3	86360103	86360706	LBD_DEL_chr3_6445	N	DEL	DEL	838	CHMP2B	PASS	603	wham	SR	0	0.000138313	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	4.038	0.123121705	-0.069492189
3	86410206	86410891	LBD_DEL_chr3_6449	N	DEL	DEL	787	CHMP2B	PASS	685	manta	PE,RD,SR	0.000637755	0.000135172	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	5.448	0.268838289	0.268838289
3	86473892	86473943	LBD_INS_chr3_2099	N	INS:ME:LINE1	INS:ME:LINE1	944	CHMP2B	PASS	2887	melt	SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	10.86	0.533966073	0.533966073
3	86483194	86483787	LBD_DUP_chr3_3828	N	DUP	DUP	607	CHMP2B	PASS	593	manta,wham	PE,RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.153	-0.058268445	-0.072126717
3	86487315	86487366	LBD_INS_chr3_2100	N	INS:ME:ALU	INS:ME:ALU	545	CHMP2B	PASS	264	melt	SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	6.571	0.308165065	0.308165065
3	86495666	86495746	LBD_DUP_chr3_3830	N	DUP	DUP	567	CHMP2B	PASS	80	wham	RD,SR	0.000212314	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	8.011	0.283856658	-0.068757276
3	86534723	86534837	LBD_DEL_chr3_6466	N	DEL	DEL	971	CHMP2B	PASS	114	manta	SR	0.000212314	0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.938	-0.076780979	-0.076780979
3	86536671	86536727	LBD_DEL_chr3_6467	N	DEL	DEL	839	CHMP2B	PASS	56	wham	SR	0	0.000135172	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.508	-0.120182392	-0.457890987
3	86579703	86579821	LBD_DEL_chr3_6470	N	DEL	DEL	459	CHMP2B	PASS	118	manta	SR	0.000424809	0.000270343	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.34	-0.050899186	-0.050899186
3	86626912	86628353	LBD_DEL_chr3_6473	N	DEL	DEL	999	CHMP2B	PASS	1441	manta	PE,SR	0	0.00027027	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.896	-0.025546929	-0.025546929
3	86721350	86724913	LBD_DEL_chr3_6478	N	DEL	DEL	703	CHMP2B	PASS	3563	manta	PE,RD	0	0.000270343	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.696	-0.100214928	-0.100214928
3	86730977	86732566	LBD_DEL_chr3_6479	N	DEL	DEL	702	CHMP2B	PASS	1589	manta	PE,SR	0.000212314	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.587	-0.111466033	-0.218823721
3	86737145	86746935	LBD_DEL_chr3_6480	N	DEL	DEL	751	CHMP2B	PASS	9790	depth,manta	PE,RD,SR	0.000212314	0.000405405	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	4.725	0.187208828	0.187208828
3	86789104	86791763	LBD_DEL_chr3_6484	N	DEL	DEL	936	CHMP2B	PASS	2659	manta	PE,RD,SR	0.000636943	0.00027027	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	4.47	0.160336801	0.160336801
3	86795812	86805171	LBD_DEL_chr3_6485	N	DEL	DEL	999	CHMP2B	PASS	9359	depth,manta	BAF,PE,RD,SR	0.000212314	0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	3.414	0.068860322	0.068860322
3	86801352	86801429	LBD_DUP_chr3_3838	N	DUP	DUP	654	CHMP2B	PASS	77	wham	SR	0.000212314	0.00027027	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.377	-0.134286501	-0.38803043
3	86820080	86820080	LBD_BND_chr3_2867	N	BND	BND	357	CHMP2B	UNRESOLVED	157	manta	PE	0.000213038	0.00027115	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
3	86831757	86838509	LBD_DUP_chr3_3841	N	DUP	DUP	999	CHMP2B	PASS	6752	depth,manta	BAF,PE,RD,SR	0.00148683	0.00148769	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	2.625	0.011755298	-0.008792233
3	86846841	86846901	LBD_DEL_chr3_6492	N	DEL	DEL	677	CHMP2B	PASS	60	manta	SR	0.000212495	0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	12.4	0.694400056	0.286144201
3	86858110	86871183	LBD_DUP_chr3_3842	N	DUP	DUP	313	CHMP2B	PASS	13073	depth,manta	BAF,PE,RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	3.845	0.087095492	0.087095492
3	86860741	86860864	LBD_DUP_chr3_3844	N	DUP	DUP	546	CHMP2B	PASS	123	manta	RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.096	-0.062000166	-0.062000166
3	86873141	86873214	LBD_DEL_chr3_6497	N	DEL	DEL	725	CHMP2B	PASS	73	manta	SR	0.016731	0.0191257	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.371	-0.049398459	-0.049398459
3	86874365	86876925	LBD_DEL_chr3_6498	N	DEL	DEL	793	CHMP2B	PASS	2560	manta	PE,RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	3.138	0.043946396	-0.129934437
3	86879515	86879568	LBD_DEL_chr3_6499	N	DEL	DEL	825	CHMP2B	PASS	53	manta	SR	0	0.000135281	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.802	-0.089493932	-0.089493932
3	86896579	86896630	LBD_INS_chr3_2105	N	INS:ME:ALU	INS:ME:ALU	542	CHMP2B	PASS	281	melt	SR	0	0.000135172	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	14.31	0.685189257	0.685189257
3	86947719	86954679	LBD_DEL_chr3_6504	N	DEL	DEL	999	CHMP2B	PASS	6960	depth,manta	PE,RD,SR	0.000636943	0.00027027	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	['GH03J086949']	7.311	0.488696494	0.488696494
3	87036581	87037495	LBD_DEL_chr3_6507	N	DEL	DEL	999	CHMP2B	PASS	914	manta	PE,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.154	-0.186162057	-0.186162057
3	87054915	87055229	LBD_DEL_chr3_6509	N	DEL	DEL	892	CHMP2B	PASS	314	manta	RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.268	-0.05470585	-0.05470585
3	87064600	87065094	LBD_DEL_chr3_6510	N	DEL	DEL	642	CHMP2B	PASS	494	manta	PE,SR	0.000212314	0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	3.707	0.094844574	-0.047618149
3	87087811	87092350	LBD_DEL_chr3_6512	N	DEL	DEL	919	CHMP2B	PASS	4539	manta	PE,RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	['GH03J087088']	2.286	-0.008318606	-0.008318606
3	87093069	87093069	LBD_BND_chr3_2869	N	BND	BND	847	CHMP2B	UNRESOLVED	248304	manta	BAF,PE,SR	0	0.000405405	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
3	87093653	87093733	LBD_DEL_chr3_6513	N	DEL	DEL	699	CHMP2B	PASS	80	manta	SR	0.00191327	0.00135245	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.55	-0.040713682	-0.111642468
3	87093683	87093683	LBD_BND_chr3_2870	N	BND	BND	847	CHMP2B	UNRESOLVED	248279	manta	PE	0	0.000135208	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
3	87115367	87115647	LBD_DEL_chr3_6514	N	DEL	DEL	804	CHMP2B	PASS	280	manta	RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	4.863	0.202232163	0.202232163
3	87128045	87130732	LBD_DEL_chr3_6516	N	DEL	DEL	715	CHMP2B	PASS	2687	manta	PE,SR	0.000212314	0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.08	-0.06597568	-0.06597568
3	87158915	87161402	LBD_DEL_chr3_6519	N	DEL	DEL	642	CHMP2B	PASS	2487	manta	PE,RD,SR	0.000212314	0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	['GH03J087160']	10.05	0.631158731	0.631158731
3	87181804	87181888	LBD_DEL_chr3_6522	N	DEL	DEL	889	CHMP2B	PASS	84	manta	SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	13.38	0.718437815	0.383855008
3	87202584	87227055	LBD_DUP_chr3_3857	N	DUP	DUP	421	CHMP2B	PASS	24471	depth,manta	PE,RD,SR	0.00042517	0.000135135	Not_exonic	Candidate_gene_overlap	Promoter_overlap	Non-coding_overlap	['GH03J087226', 'GH03J087209', 'GH03J087205', 'GH03J087204']	11.1	0.37007791	0.180456849
3	87205646	87208782	LBD_DEL_chr3_6523	N	DEL	DEL	866	CHMP2B	PASS	3136	manta	PE,RD,SR	0.0014862	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	['GH03J087205']	6.172	0.360138945	0.360138945
3	87269936	87270965	LBD_DEL_chr3_6528	N	DEL	DEL	854	CHMP2B	PASS	1029	manta	PE,RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	4.936	0.210764263	0.171191405
3	87314782	87315020	LBD_DEL_chr3_6532	N	DEL	DEL	774	CHMP2B	PASS	238	manta	RD,SR	0	0.000135172	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.5	-0.042962448	-0.19096188
3	87316059	87316122	LBD_DUP_chr3_3858	N	DUP	DUP	643	CHMP2B	PASS	63	wham	RD,SR	0.00511727	0.00421081	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.989	-0.069902958	-0.069902958
3	87316981	87316981	LBD_BND_chr3_2872	N	BND	BND	74	CHMP2B	UNRESOLVED	-1	manta	PE,SR	0	0.000411636	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap			
3	87322421	87322473	LBD_DUP_chr3_3859	N	DUP	DUP	596	CHMP2B	PASS	52	wham	RD,SR	0.0387125	0.0428611	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.663	-0.099728353	-0.099728353
3	87339470	87339549	LBD_DEL_chr3_6536	N	DEL	DEL	847	CHMP2B	PASS	79	manta	SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.61	-0.109136301	-0.109136301
3	87395523	87395635	LBD_DEL_chr3_6541	N	DEL	DEL	508	CHMP2B	PASS	112	manta	SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	8.094	0.546894398	0.133005923
3	87397469	87397632	LBD_DEL_chr3_6542	N	DEL	DEL	709	CHMP2B	PASS	163	manta	RD,SR	0.0396104	0.0374486	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	4.274	0.142975835	-0.050084583
3	87398524	87407374	LBD_DEL_chr3_6543	N	DEL	DEL	999	CHMP2B	PASS	8850	depth,manta	BAF,PE,RD,SR	0.000212314	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.49	-0.122362462	-0.287241873
3	87413968	87414055	LBD_DEL_chr3_6544	N	DEL	DEL	702	CHMP2B	PASS	87	manta	SR	0.000212404	0	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.796	-0.029780646	-0.029780646
3	87433374	87433456	LBD_DEL_chr3_6545	N	DEL	DEL	724	CHMP2B	PASS	82	manta	SR	0.0651695	0.0581525	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.357	-0.050057477	-0.050057477
3	87445637	87445688	LBD_INS_chr3_2115	N	INS:ME:ALU	INS:ME:ALU	749	CHMP2B	PASS	281	melt	SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	8.154	0.371972313	0.371972313
3	87446936	87452978	LBD_DEL_chr3_6548	N	DEL	DEL	462	CHMP2B	PASS	6042	depth,manta	BAF,PE,RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.266	-0.153728701	-0.162047063
3	87495098	87503575	LBD_DEL_chr3_6550	N	DEL	DEL	520	CHMP2B	PASS	8477	depth,manta	BAF,PE,RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	4.907	0.207362075	0.207362075
3	87512860	87512936	LBD_DEL_chr3_6551	N	DEL	DEL	924	CHMP2B	PASS	76	manta	SR	0	0.000135172	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	1.442	-0.045805582	-0.045805582
3	87521789	87522792	LBD_DEL_chr3_6552	N	DEL	DEL	909	CHMP2B	PASS	1003	manta	PE,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	4.431	0.15660299	-0.128803725
3	87534194	87538065	LBD_DEL_chr3_6555	N	DEL	DEL	866	CHMP2B	PASS	3871	manta	PE,RD,SR	0	0.000135135	Not_exonic	No_candidate_gene_overlap	No_promoter_overlap	No_non_coding_overlap	No_genehancer_overlap	0.27	-0.152937582	-0.180807302
